Country,province,population,density,area,urban,Days_since_n_cases,LockDown,longitude,latitude,cases_day1,cases_day2,cases_day3,cases_day4,cases_day5,cases_day6,cases_day7,cases_day8,cases_day9,cases_day10,deaths_day1,deaths_day2,deaths_day3,deaths_day4,deaths_day5,deaths_day6,deaths_day7,deaths_day8,deaths_day9,deaths_day10
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.0,0,0.5916666666666667,0.6805555555555556,0.003,0.0,0.001,0.002,0.0,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.01,0,0.5916666666666667,0.6805555555555556,0.0,0.001,0.002,0.0,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.02,0,0.5916666666666667,0.6805555555555556,0.001,0.002,0.0,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.03,0,0.5916666666666667,0.6805555555555556,0.002,0.0,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.04,0,0.5916666666666667,0.6805555555555556,0.0,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.05,0,0.5916666666666667,0.6805555555555556,0.0,0.004,0.005,0.005,0.001,0.0,0.0,0.002,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.06,0,0.5916666666666667,0.6805555555555556,0.004,0.005,0.005,0.001,0.0,0.0,0.002,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.07,0,0.5916666666666667,0.6805555555555556,0.005,0.005,0.001,0.0,0.0,0.002,0.0,0.016,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.08,0,0.5916666666666667,0.6805555555555556,0.005,0.001,0.0,0.0,0.002,0.0,0.016,0.0,0.034,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.09,0,0.5916666666666667,0.6805555555555556,0.001,0.0,0.0,0.002,0.0,0.016,0.0,0.034,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.1,0,0.5916666666666667,0.6805555555555556,0.0,0.0,0.002,0.0,0.016,0.0,0.034,0.01,0.01,0.016,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.11,0,0.5916666666666667,0.6805555555555556,0.0,0.002,0.0,0.016,0.0,0.034,0.01,0.01,0.016,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.12,0,0.5916666666666667,0.6805555555555556,0.002,0.0,0.016,0.0,0.034,0.01,0.01,0.016,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.13,0,0.5916666666666667,0.6805555555555556,0.0,0.016,0.0,0.034,0.01,0.01,0.016,0.0,0.01,0.05,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.14,0,0.5916666666666667,0.6805555555555556,0.016,0.0,0.034,0.01,0.01,0.016,0.0,0.01,0.05,0.004,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.15,0,0.5916666666666667,0.6805555555555556,0.0,0.034,0.01,0.01,0.016,0.0,0.01,0.05,0.004,0.063,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.16,0,0.5916666666666667,0.6805555555555556,0.034,0.01,0.01,0.016,0.0,0.01,0.05,0.004,0.063,0.036,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.17,0,0.5916666666666667,0.6805555555555556,0.01,0.01,0.016,0.0,0.01,0.05,0.004,0.063,0.036,0.008,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.18,0,0.5916666666666667,0.6805555555555556,0.01,0.016,0.0,0.01,0.05,0.004,0.063,0.036,0.008,0.018,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.19,0,0.5916666666666667,0.6805555555555556,0.016,0.0,0.01,0.05,0.004,0.063,0.036,0.008,0.018,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0
Afghanistan,nan,0.38928346,0.06,0.65286,0.25,0.2,0,0.5916666666666667,0.6805555555555556,0.0,0.01,0.05,0.004,0.063,0.036,0.008,0.018,0.05,0.018,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.04
