new_cases,new_deaths
0.0,0.0
0.0,0.0
0.002,0.0
0.0,0.0
0.016,0.01
0.0,0.0
0.034,0.0
0.01,0.01
0.01,0.02
0.016,0.0
0.0,0.0
0.01,0.0
0.05,0.0
0.004,0.0
0.063,0.0
0.036,0.02
0.004,0.0
0.009,0.0
0.004,0.0
0.004,0.01
0.005,0.0
0.006,0.0
0.006,0.0
0.013,0.0
0.015,0.02
0.019,0.01
0.023,0.0
0.028,0.01
0.012,0.02
0.011,0.02
0.015,0.0
0.011,0.01
0.02,0.04
0.016,0.0
0.018,0.01
0.0,0.0
0.0,0.0
0.004,0.01
0.002,0.01
0.011,0.01
0.011,0.01
0.006,0.0
0.006,0.0
0.014,0.03
0.013,0.02
0.003,0.02
0.049,0.04
0.062,0.02
0.029,0.0
0.034,0.02
0.038,0.02
0.065,0.04
0.042,0.01
0.045,0.03
0.057,0.02
0.073,0.04
0.132,0.09
0.131,0.14
0.139,0.28
0.022,0.0
0.013,0.0
0.025,0.01
0.02,0.0
0.031,0.0
0.024,0.0
0.036,0.02
0.043,0.0
0.041,0.0
0.026,0.03
0.036,0.02
0.006,0.04
0.014,0.02
0.038,0.01
0.003,0.0
0.011,0.0
0.011,0.0
0.012,0.0
0.011,0.0
0.018,0.01
0.031,0.0
0.03,0.01
0.108,0.0
0.035,0.0
0.086,0.02
0.0,0.02
0.115,0.01
0.087,0.04
0.101,0.05
0.055,0.01
0.075,0.04
0.234,0.04
0.0,0.01
0.079,0.08
0.026,0.0
0.006,0.0
0.031,0.0
0.021,0.0
0.024,0.0
0.034,0.0
0.041,0.0
0.014,0.0
0.016,0.0
0.025,0.01
0.039,0.0
0.078,0.0
0.017,0.02
0.058,0.0
0.05,0.0
0.039,0.01
0.092,0.03
0.0,0.0
0.014,0.0
0.009,0.0
0.009,0.0
0.006,0.0
0.001,0.01
0.002,0.0
0.004,0.0
0.003,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.002,0.0
0.0,0.0
0.007,0.0
0.009,0.01
0.0,0.0
0.004,0.0
0.002,0.0
0.01,0.01
0.01,0.0
0.007,0.0
0.01,0.0
0.0,0.0
0.027,0.0
0.02,0.0
0.022,0.0
0.037,0.0
0.039,0.02
0.057,0.01
0.04,0.0
0.046,0.01
0.083,0.0
0.233,0.0
0.0,0.0
